Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.95 [0.5],1768577.4810929135,424,4690,0.0726,437000,751000000,100.0,100.0
/liveops/events/evaluate (POST),0.92 [0.5],146236.4960020459,617,6150,8.24,409000,90200000,11.9,13.8
/quest/getQuests (POST),0.98 [0.5],120966.0,437,4660,43.3,199000,52800000,07.0,02.5
/playermodel/listPlayerModelsByModelIds (POST),0.94 [0.5],69431.98545636139,643,4640,91.7,191000,44700000,05.9,04.7
/battlelog/listDefenseLogs (POST),0.99 [0.5],96271.5116169005,333,4580,11.7,193000,32100000,04.2,01.6
/store/purchaseConversionProduct (POST),0.98 [0.5],93398.0,306,3620,18.9,203000,28600000,03.8,02.2
/NettyDispatcher,0.74 [0.5],9475.0,2330,14400,0.0726,202000,22100000,02.9,02.7
/{a:crate|crate\/v1}/listSharedCrates (POST),0.99 [0.5],77416.99068352196,279,3860,19.2,196000,21600000,02.9,01.3
/mission/v1/action/draw (POST),0.99 [0.5],70982.0,280,3540,39.1,198000,19900000,02.6,01.1
/store/playermodel/listPlayerModelsByModelIds (POST),0.97 [0.5],46235.0,365,1610,95.0,114000,16900000,02.2,01.6
/campaign/v2/getUpdatedCampaignInfo (POST),0.98 [0.5],43909.23025596932,365,3700,16.9,208000,16000000,02.1,01.1
/battlelog/liveops/events/evaluate (POST),0.92 [0.5],21738.084257464197,610,5880,8.77,265000,13300000,01.8,02.1
/playermodel/liveops/events/evaluate (POST),0.91 [0.5],20899.0,621,6080,8.55,398000,13000000,01.7,02.1
/playerraid/end (POST),0.93 [0.5],22012.0,560,3520,142,142000,12300000,01.6,01.7
/campaign/v2/finishStage (POST),0.8 [0.5],12717.0,835,4890,20.3,189000,10600000,01.4,02.9
/recipe/processOpenGachaRecipe (POST),0.93 [0.5],13308.0,775,5860,17.0,207000,10300000,01.4,01.1
/{a:crate|crate\/v1}/liveops/events/evaluate (POST),0.9 [0.5],16715.73443196808,552,4420,8.59,162000,9230000,01.2,01.9
/store/liveops/events/evaluate (POST),0.91 [0.5],13647.0,668,6630,8.49,359000,9120000,01.2,01.3
/{a:authentication|authentication\/v1}/register (POST),0.36 [0.5],320.3714589876155,26700,54800,533,257000,8550000,01.1,00.2
/{a:matchmaking|matchmaking\/v1}/search (POST),0.98 [0.5],23963.0,353,3910,19.5,162000,8460000,01.1,00.4
