Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.98 [0.5],66054.16514630032,90.5,1470,0.283,87100,5980000,100.0,100.0
/liveops/events/evaluate (POST),0.84 [0.5],1719.6002012806978,1030,5890,10.5,87100,1770000,29.8,26.1
/store/playermodel/listPlayerModelsByModelIds (POST),0.97 [0.5],928.7302083333334,662,4530,150,84100,615000,10.4,02.7
/battlelog/liveops/events/evaluate (POST),0.74 [0.5],341.1842717312774,1130,6250,14.8,84600,386000,06.5,08.1
/playermodel/liveops/events/evaluate (POST),0.81 [0.5],275.9274339970831,927,5200,17.1,72700,256000,04.3,04.9
/{a:crate|crate\/v1}/liveops/events/evaluate (POST),0.7 [0.5],184.08505345455623,1160,6300,17.0,85400,213000,03.6,05.1
/version (GET),1.0 [0.5],43022.48695772231,4.82,402,0.302,60200,207000,03.5,01.5
/tutorial/liveops/events/evaluate (POST),0.9 [0.5]*,52.0,3630,15100,116,85600,189000,03.2,00.5
/playermodel/listPlayerModelsByModelIds (POST),0.99 [0.5],471.42307426665747,382,3280,145,70700,180000,03.0,00.5
/quest/getQuests (POST),1.0 [0.5],1315.0723865352163,130,1920,51.6,69800,171000,02.9,00.1
/store/purchaseConversionProduct (POST),0.99 [0.5],829.5270833333334,180,1280,20.2,33200,149000,02.5,00.8
/healthcheck (GET),0.99 [0.5],231.3003535668657,386,1800,183,27700,89300,01.5,00.2
/campaign/v2/getUpdatedCampaignInfo (POST),0.97 [0.5],616.7510436095567,144,164,20.4,866,88800,01.5,02.0
/model/playermodel/listPlayerModels (POST),0.51 [0.5]*,72.0,1230,175,464,1600,88600,01.5,03.2
/model/listModels (POST),0.26 [0.5],116.3802192247847,755,465,272,2340,87900,01.5,08.0
/recipe/processOpenGachaRecipe (POST),0.98 [0.5],284.9723404255319,301,738,166,10800,85800,01.4,00.6
/campaign/v2/finishStage (POST),0.95 [0.5],223.9408711936329,374,841,155,12600,83700,01.4,01.0
/recipe/liveops/events/evaluate (POST),0.86 [0.5],116.95743663428408,625,1660,113,11800,73100,01.2,01.5
/playerraid/end (POST),0.99 [0.5],247.89204668340318,246,151,146,2430,61000,01.0,00.1
/campaign/v2/listCoreCampaigns (POST),0.82 [0.5],123.35020872191136,451,192,101,942,55700,00.9,02.0
/mission/v1/action/draw (POST),1.0 [0.5],708.8128840465686,68.6,14.0,48.3,145,48600,00.8,00.0
/{a:authentication|authentication\/v1}/register (POST),0.47 [0.5]*,39.0,999,375,681,2280,39000,00.7,01.9
/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5],781.0551107856429,38.4,11.1,21.9,107,30000,00.5,00.0
